NOSE.x,NOSE.y,NOSE.z,LEFT_EYE_INNER.x,LEFT_EYE_INNER.y,LEFT_EYE_INNER.z,LEFT_EYE.x,LEFT_EYE.y,LEFT_EYE.z,LEFT_EYE_OUTER.x,LEFT_EYE_OUTER.y,LEFT_EYE_OUTER.z,RIGHT_EYE_INNER.x,RIGHT_EYE_INNER.y,RIGHT_EYE_INNER.z,RIGHT_EYE.x,RIGHT_EYE.y,RIGHT_EYE.z,RIGHT_EYE_OUTER.x,RIGHT_EYE_OUTER.y,RIGHT_EYE_OUTER.z,LEFT_EAR.x,LEFT_EAR.y,LEFT_EAR.z,RIGHT_EAR.x,RIGHT_EAR.y,RIGHT_EAR.z,MOUTH_LEFT.x,MOUTH_LEFT.y,MOUTH_LEFT.z,MOUTH_RIGHT.x,MOUTH_RIGHT.y,MOUTH_RIGHT.z,LEFT_SHOULDER.x,LEFT_SHOULDER.y,LEFT_SHOULDER.z,RIGHT_SHOULDER.x,RIGHT_SHOULDER.y,RIGHT_SHOULDER.z,LEFT_ELBOW.x,LEFT_ELBOW.y,LEFT_ELBOW.z,RIGHT_ELBOW.x,RIGHT_ELBOW.y,RIGHT_ELBOW.z,LEFT_WRIST.x,LEFT_WRIST.y,LEFT_WRIST.z,RIGHT_WRIST.x,RIGHT_WRIST.y,RIGHT_WRIST.z,LEFT_PINKY.x,LEFT_PINKY.y,LEFT_PINKY.z,RIGHT_PINKY.x,RIGHT_PINKY.y,RIGHT_PINKY.z,LEFT_INDEX.x,LEFT_INDEX.y,LEFT_INDEX.z,RIGHT_INDEX.x,RIGHT_INDEX.y,RIGHT_INDEX.z,LEFT_THUMB.x,LEFT_THUMB.y,LEFT_THUMB.z,RIGHT_THUMB.x,RIGHT_THUMB.y,RIGHT_THUMB.z,LEFT_HIP.x,LEFT_HIP.y,LEFT_HIP.z,RIGHT_HIP.x,RIGHT_HIP.y,RIGHT_HIP.z,LEFT_KNEE.x,LEFT_KNEE.y,LEFT_KNEE.z,RIGHT_KNEE.x,RIGHT_KNEE.y,RIGHT_KNEE.z,LEFT_ANKLE.x,LEFT_ANKLE.y,LEFT_ANKLE.z,RIGHT_ANKLE.x,RIGHT_ANKLE.y,RIGHT_ANKLE.z,LEFT_HEEL.x,LEFT_HEEL.y,LEFT_HEEL.z,RIGHT_HEEL.x,RIGHT_HEEL.y,RIGHT_HEEL.z,LEFT_FOOT_INDEX.x,LEFT_FOOT_INDEX.y,LEFT_FOOT_INDEX.z,RIGHT_FOOT_INDEX.x,RIGHT_FOOT_INDEX.y,RIGHT_FOOT_INDEX.z
-0.5785846710205078,-0.2744514048099518,-0.09740854799747467,-0.5471967458724976,-0.30068105459213257,-0.14260073006153107,-0.5483335256576538,-0.3020024001598358,-0.13243412971496582,-0.5500146150588989,-0.30049610137939453,-0.13171732425689697,-0.5567384362220764,-0.33362531661987305,-0.1157860979437828,-0.5541781783103943,-0.3299109637737274,-0.123292475938797,-0.5384112596511841,-0.3238923251628876,-0.1034294068813324,-0.41854381561279297,-0.3433123528957367,-0.21632611751556396,-0.39201003313064575,-0.3579613268375397,-0.033325109630823135,-0.5229584574699402,-0.28411126136779785,-0.11095288395881653,-0.4983365535736084,-0.2769935727119446,-0.087367482483387,-0.290198415517807,-0.20185814797878265,-0.19459348917007446,-0.3733188211917877,-0.30843356251716614,0.16079376637935638,-0.4235017001628876,-0.02613864839076996,-0.19221581518650055,-0.478126585483551,-0.10109205543994904,0.22525259852409363,-0.592904269695282,-0.21172957122325897,0.06218426302075386,-0.6242257952690125,-0.20747926831245422,0.28481560945510864,-0.6506400108337402,-0.27023714780807495,0.08175471425056458,-0.6329168081283569,-0.2759344279766083,0.2894461750984192,-0.6067231297492981,-0.28381919860839844,0.0750812515616417,-0.617177426815033,-0.32844728231430054,0.303282231092453,-0.5659803748130798,-0.23176564276218414,0.0627928376197815,-0.6296770572662354,-0.23046119511127472,0.2838497459888458,0.023114191368222237,0.011654319241642952,-0.0717085525393486,-0.025962097570300102,-0.017179448157548904,0.07096443325281143,-0.24624833464622498,0.20576196908950806,-0.1819167584180832,-0.39437776803970337,0.059401750564575195,0.20328642427921295,-0.0687960535287857,0.5117030143737793,-0.13940924406051636,-0.26468193531036377,0.4568086862564087,0.35867229104042053,-0.07989582419395447,0.5593146085739136,-0.12601415812969208,-0.26763343811035156,0.4971238076686859,0.3354548513889313,-0.20199598371982574,0.6105270385742188,-0.1198272779583931,-0.392086386680603,0.5184448957443237,0.3835190534591675
-0.491428405046463,-0.3902307152748108,-0.1444331705570221,-0.4662802517414093,-0.4191625118255615,-0.18137110769748688,-0.46754008531570435,-0.4206945598125458,-0.17025969922542572,-0.4691318869590759,-0.4194919764995575,-0.17067889869213104,-0.47716742753982544,-0.4483357071876526,-0.16198278963565826,-0.4751361310482025,-0.44473281502723694,-0.16960319876670837,-0.4608365297317505,-0.43679356575012207,-0.15048833191394806,-0.3398783206939697,-0.462326318025589,-0.2225303053855896,-0.3403039276599884,-0.4592823088169098,-0.07320935279130936,-0.43226879835128784,-0.39940404891967773,-0.14317761361598969,-0.4169740676879883,-0.38465508818626404,-0.12889619171619415,-0.23119014501571655,-0.3052770495414734,-0.20328666269779205,-0.319976270198822,-0.4087945222854614,0.14927959442138672,-0.4065486192703247,-0.12711162865161896,-0.21874235570430756,-0.46008986234664917,-0.22808301448822021,0.2276628315448761,-0.5320323705673218,-0.2830384373664856,0.01521464716643095,-0.5776602029800415,-0.31473711133003235,0.2853540778160095,-0.5757716298103333,-0.3386844992637634,0.03346876800060272,-0.5744613409042358,-0.37627875804901123,0.282812237739563,-0.5286604762077332,-0.34852829575538635,0.02837178111076355,-0.5531953573226929,-0.4284929633140564,0.2970341742038727,-0.5005208253860474,-0.2978786826133728,0.020709268748760223,-0.5795992612838745,-0.34008967876434326,0.28372320532798767,0.02736698091030121,0.0031761927530169487,-0.06834666430950165,-0.029500406235456467,-0.008982829749584198,0.06744938343763351,-0.14971965551376343,0.34030407667160034,-0.16032424569129944,-0.3051466941833496,0.22675815224647522,0.14276085793972015,-0.039022296667099,0.6370921730995178,-0.14472265541553497,-0.18981312215328217,0.578933596611023,0.32384052872657776,-0.058449745178222656,0.6826815605163574,-0.13632620871067047,-0.1947106271982193,0.6125780940055847,0.30551981925964355,-0.19486191868782043,0.7304432392120361,-0.13815192878246307,-0.3078797459602356,0.632687509059906,0.3469015955924988
-0.21584001183509827,-0.6116331815719604,-0.1051710844039917,-0.18432879447937012,-0.6287707686424255,-0.1433192640542984,-0.18642592430114746,-0.6298655867576599,-0.12911765277385712,-0.18866407871246338,-0.6304360032081604,-0.1312616914510727,-0.1837187111377716,-0.6512126326560974,-0.11690092831850052,-0.18286344408988953,-0.6490084528923035,-0.12912580370903015,-0.1760137677192688,-0.6361439824104309,-0.10869093239307404,-0.06185300275683403,-0.6250123381614685,-0.19093254208564758,-0.05815839394927025,-0.602453351020813,-0.03523583337664604,-0.15657223761081696,-0.602733850479126,-0.10963855683803558,-0.15054164826869965,-0.5752169489860535,-0.09008847922086716,-0.0026748403906822205,-0.4633098542690277,-0.18455186486244202,-0.04806983098387718,-0.5350792407989502,0.17835450172424316,-0.19033099710941315,-0.345320463180542,-0.15187980234622955,-0.14278507232666016,-0.3149055540561676,0.09430714696645737,-0.24901840090751648,-0.4700559973716736,0.1163163036108017,-0.25520941615104675,-0.42123788595199585,-0.12420441955327988,-0.2795918583869934,-0.514003574848175,0.15162134170532227,-0.2556939423084259,-0.4657056927680969,-0.17962636053562164,-0.24302786588668823,-0.5293084979057312,0.15077628195285797,-0.22988706827163696,-0.5177110433578491,-0.17306524515151978,-0.21952767670154572,-0.4740446209907532,0.12527774274349213,-0.25247594714164734,-0.4477662444114685,-0.13376177847385406,0.02183394879102707,0.00016233534552156925,-0.07403308153152466,-0.021213840693235397,-0.0047585624270141125,0.07708456367254257,0.05443201959133148,0.4399203658103943,-0.09387119859457016,-0.04438292980194092,0.3137883245944977,0.1964312344789505,0.12447886168956757,0.7877598404884338,-0.028599636629223824,-0.013832494616508484,0.6756800413131714,0.42697834968566895,0.10021241754293442,0.8249506950378418,-0.015689723193645477,-0.016672812402248383,0.7074375748634338,0.40554070472717285,-0.06256894767284393,0.8356080055236816,-0.04922846704721451,-0.14811882376670837,0.6986223459243774,0.42403802275657654
-0.2192663997411728,-0.6118462681770325,-0.10051456838846207,-0.1854061782360077,-0.6291201710700989,-0.13834796845912933,-0.18734776973724365,-0.6303813457489014,-0.12413144111633301,-0.18971110880374908,-0.6311244368553162,-0.12659868597984314,-0.18573495745658875,-0.6533904671669006,-0.11184953153133392,-0.18476268649101257,-0.6510621309280396,-0.12398234009742737,-0.17830118536949158,-0.6385607123374939,-0.10357249528169632,-0.05867844074964523,-0.6235842704772949,-0.18493859469890594,-0.058255407959222794,-0.6066830158233643,-0.025893045589327812,-0.159837543964386,-0.6018332839012146,-0.10506991297006607,-0.15490514039993286,-0.5756602883338928,-0.08432710915803909,-0.008220434188842773,-0.45983749628067017,-0.1806252896785736,-0.05208919197320938,-0.5394807457923889,0.18945251405239105,-0.2116880863904953,-0.35696348547935486,-0.14615865051746368,-0.18639667332172394,-0.3414454460144043,0.10407572984695435,-0.26230287551879883,-0.5024401545524597,0.13722562789916992,-0.2842227518558502,-0.459271103143692,-0.10070738941431046,-0.29061079025268555,-0.5492373704910278,0.1733635812997818,-0.2778416872024536,-0.5032608509063721,-0.15481053292751312,-0.2524772882461548,-0.5624321699142456,0.17302750051021576,-0.24366652965545654,-0.5538352131843567,-0.14582960307598114,-0.2315189242362976,-0.506040096282959,0.14672106504440308,-0.276876837015152,-0.48520585894584656,-0.10905329883098602,0.02073754370212555,-0.0019211103208363056,-0.07655966281890869,-0.020139528438448906,-0.0027593376580625772,0.07978323847055435,0.05517283082008362,0.43640661239624023,-0.08969193696975708,-0.03538534790277481,0.32399433851242065,0.1793898642063141,0.11753173172473907,0.7776244282722473,-0.028162281960248947,-0.012366876006126404,0.6921762228012085,0.3904348909854889,0.09151171147823334,0.8143218755722046,-0.01595507562160492,-0.0165785551071167,0.7240709662437439,0.36727845668792725,-0.07447570562362671,0.8268706798553467,-0.04820737615227699,-0.15474268794059753,0.7129167318344116,0.3830512762069702
-0.523002028465271,-0.3942885100841522,-0.11332263052463531,-0.48845213651657104,-0.4168575704097748,-0.15653042495250702,-0.4894399642944336,-0.4187018871307373,-0.14577217400074005,-0.4907785952091217,-0.4171917140483856,-0.14548222720623016,-0.4958343505859375,-0.44977501034736633,-0.13498327136039734,-0.49422207474708557,-0.4454447329044342,-0.1413402110338211,-0.4800913333892822,-0.437522828578949,-0.12215416878461838,-0.3610662519931793,-0.4346395432949066,-0.21102018654346466,-0.3445889949798584,-0.4401915669441223,-0.05073316767811775,-0.4681089222431183,-0.3924916684627533,-0.11867073178291321,-0.44748517870903015,-0.38117286562919617,-0.10166310518980026,-0.2657678425312042,-0.25166186690330505,-0.19049270451068878,-0.32559698820114136,-0.3788065016269684,0.16782128810882568,-0.419131338596344,-0.08039382100105286,-0.18940147757530212,-0.4446636438369751,-0.18934446573257446,0.25063422322273254,-0.5357429385185242,-0.2644609212875366,0.06642761081457138,-0.5681692957878113,-0.2894170880317688,0.31529873609542847,-0.5754061341285706,-0.33045271039009094,0.0827033668756485,-0.5704880952835083,-0.3573874235153198,0.32162168622016907,-0.5217598080635071,-0.3308066427707672,0.07377541065216064,-0.5426452159881592,-0.4011245667934418,0.34067562222480774,-0.5001431703567505,-0.2763754427433014,0.06880702823400497,-0.5688858032226562,-0.3124542832374573,0.31614816188812256,0.022317031398415565,0.012178432196378708,-0.07034941762685776,-0.024095917120575905,-0.018005670979619026,0.06959247589111328,-0.19196078181266785,0.2758804261684418,-0.1734125316143036,-0.34913381934165955,0.13670367002487183,0.16985777020454407,-0.03644531965255737,0.568619966506958,-0.16675713658332825,-0.20649588108062744,0.514957845211029,0.31789788603782654,-0.052722543478012085,0.6146777868270874,-0.1577739268541336,-0.21012185513973236,0.551769495010376,0.29652300477027893,-0.18904587626457214,0.6641390323638916,-0.15999245643615723,-0.3276175856590271,0.567029595375061,0.331897497177124
-0.5606195330619812,-0.3292918801307678,-0.1224980503320694,-0.5232816934585571,-0.3534272313117981,-0.16886109113693237,-0.5240941643714905,-0.355595201253891,-0.15764455497264862,-0.5250228643417358,-0.3531324863433838,-0.15674109756946564,-0.5330526232719421,-0.38350310921669006,-0.14444158971309662,-0.5316386222839355,-0.3796440064907074,-0.14970414340496063,-0.5177576541900635,-0.3721165657043457,-0.130726620554924,-0.39529550075531006,-0.3811533451080322,-0.22027841210365295,-0.37626901268959045,-0.3766103982925415,-0.05249534919857979,-0.505950391292572,-0.3320089876651764,-0.13049522042274475,-0.4817608594894409,-0.320374995470047,-0.11194798350334167,-0.27960675954818726,-0.202077254652977,-0.20153100788593292,-0.36406219005584717,-0.3138480484485626,0.153335839509964,-0.45263928174972534,-0.03657113015651703,-0.19649562239646912,-0.4754681885242462,-0.10520730912685394,0.1817598044872284,-0.5864971876144409,-0.21482251584529877,0.06555099785327911,-0.5838248133659363,-0.20590385794639587,0.1628345102071762,-0.6247272491455078,-0.28304430842399597,0.07524187117815018,-0.592241644859314,-0.27923130989074707,0.1613609492778778,-0.5637751221656799,-0.2835010588169098,0.05988623574376106,-0.5544602870941162,-0.3235826790332794,0.18971656262874603,-0.5464218854904175,-0.22737634181976318,0.06444563716650009,-0.5781396627426147,-0.2298637181520462,0.1656193882226944,0.02932586334645748,0.011427347548305988,-0.06578581035137177,-0.03009701520204544,-0.01630290225148201,0.06622166186571121,-0.2231648713350296,0.21366001665592194,-0.1882011443376541,-0.3716319501399994,0.0788843035697937,0.18336030840873718,-0.03334037959575653,0.523540198802948,-0.1917269080877304,-0.236372172832489,0.476410835981369,0.3052505552768707,-0.04628109931945801,0.574292004108429,-0.18283408880233765,-0.24126559495925903,0.5160612463951111,0.2814885973930359,-0.17962482571601868,0.6371528506278992,-0.18832038342952728,-0.37451285123825073,0.5194936990737915,0.3055892288684845
-0.264302134513855,-0.6147565841674805,-0.11598667502403259,-0.2326355278491974,-0.6339668035507202,-0.15112262964248657,-0.2347898781299591,-0.635049045085907,-0.13712339103221893,-0.23707672953605652,-0.6351026892662048,-0.13903860747814178,-0.23436099290847778,-0.6565511226654053,-0.12553070485591888,-0.23345652222633362,-0.6543245315551758,-0.13693824410438538,-0.22539228200912476,-0.6416289210319519,-0.11689405143260956,-0.10716135799884796,-0.6294426321983337,-0.1943553239107132,-0.10475609451532364,-0.6098483800888062,-0.041545335203409195,-0.2042798399925232,-0.6064095497131348,-0.11937912553548813,-0.1966400295495987,-0.5802855491638184,-0.10141617059707642,-0.0323646143078804,-0.46139684319496155,-0.20128439366817474,-0.10004211962223053,-0.5287083387374878,0.1777438372373581,-0.20051273703575134,-0.31598150730133057,-0.1752331703901291,-0.1668156385421753,-0.29437893629074097,0.10162905603647232,-0.2986108958721161,-0.41620489954948425,0.08454709500074387,-0.3035663962364197,-0.3705844581127167,-0.12266774475574493,-0.33801114559173584,-0.4514864683151245,0.11745387315750122,-0.31093207001686096,-0.4086521565914154,-0.17737096548080444,-0.30563777685165405,-0.471870094537735,0.11564136296510696,-0.29550454020500183,-0.4648496210575104,-0.17343661189079285,-0.2729002833366394,-0.4227604269981384,0.09296524524688721,-0.30569711327552795,-0.3979277014732361,-0.13324537873268127,0.02351604774594307,-0.00041009532287716866,-0.07850940525531769,-0.02335353195667267,-0.0037586339749395847,0.08120203763246536,0.021332934498786926,0.4402506947517395,-0.09693027287721634,-0.06400031596422195,0.31018710136413574,0.20813582837581635,0.09062506258487701,0.7853719592094421,-0.015161869116127491,-0.031079307198524475,0.6869896054267883,0.41444796323776245,0.06851686537265778,0.824846625328064,-0.0004904730594716966,-0.034089088439941406,0.7211004495620728,0.3909623622894287,-0.09261608123779297,0.855453610420227,-0.03701562434434891,-0.16388796269893646,0.7214440703392029,0.39574363827705383
-0.15979355573654175,-0.6326437592506409,-0.11619666963815689,-0.1256415694952011,-0.6465226411819458,-0.15389853715896606,-0.12723584473133087,-0.6477290987968445,-0.13968516886234283,-0.12931104004383087,-0.6485425233840942,-0.1418045610189438,-0.12207969278097153,-0.6683593392372131,-0.12729260325431824,-0.12139879167079926,-0.6666119694709778,-0.139248788356781,-0.1158522516489029,-0.6531499624252319,-0.11874855309724808,-0.003244096413254738,-0.6250471472740173,-0.20239293575286865,-0.003970479592680931,-0.6059147715568542,-0.044650666415691376,-0.10288074612617493,-0.6159896850585938,-0.12102068960666656,-0.10014702379703522,-0.5887680649757385,-0.10112249851226807,0.044579580426216125,-0.45899873971939087,-0.19494113326072693,0.0001922212541103363,-0.5401065349578857,0.17850945889949799,-0.1255486160516739,-0.3468535542488098,-0.1663106381893158,-0.11380931735038757,-0.3145117461681366,0.10478664934635162,-0.20957063138484955,-0.44975584745407104,0.08741031587123871,-0.23149940371513367,-0.41653797030448914,-0.1123947724699974,-0.24591796100139618,-0.490590363740921,0.1213330551981926,-0.2289705127477646,-0.45987796783447266,-0.16908369958400726,-0.21197634935379028,-0.5059810280799866,0.12099640816450119,-0.203419491648674,-0.5115152597427368,-0.16374923288822174,-0.1854919195175171,-0.4506051540374756,0.09682432562112808,-0.22821161150932312,-0.4436686038970947,-0.1227366030216217,0.021584471687674522,0.0016877837479114532,-0.0774664580821991,-0.020438646897673607,-0.005367236211895943,0.08046184480190277,0.05725122615695,0.44562023878097534,-0.0676606073975563,-0.014740588143467903,0.31824275851249695,0.19633997976779938,0.1084839403629303,0.8004380464553833,0.020669054239988327,0.002122350037097931,0.7054784893989563,0.42366835474967957,0.08352421224117279,0.8360805511474609,0.034638602286577225,-0.001404639333486557,0.7402059435844421,0.4021596312522888,-0.07354647666215897,0.838501513004303,0.0015431356150656939,-0.13527974486351013,0.7263579368591309,0.41545581817626953
-0.39748403429985046,-0.5039783716201782,-0.09909876435995102,-0.37221431732177734,-0.530398964881897,-0.13943399488925934,-0.3745654225349426,-0.5315068960189819,-0.1264778971672058,-0.37685999274253845,-0.5309880971908569,-0.12850570678710938,-0.3815631568431854,-0.5574992895126343,-0.11735212057828903,-0.3799237906932831,-0.5542881488800049,-0.127820685505867,-0.3696250319480896,-0.5440794229507446,-0.10815264284610748,-0.25329187512397766,-0.5570572018623352,-0.18204019963741302,-0.24273869395256042,-0.5510076880455017,-0.03604874387383461,-0.3398377299308777,-0.5081183910369873,-0.10055030137300491,-0.32546377182006836,-0.48785653710365295,-0.08520448207855225,-0.18966256082057953,-0.4022756814956665,-0.1847851276397705,-0.2171867936849594,-0.48859867453575134,0.18608687818050385,-0.3731798231601715,-0.2748202085494995,-0.16162867844104767,-0.3255290389060974,-0.30254441499710083,0.13104206323623657,-0.4396347403526306,-0.45901793241500854,0.12107621133327484,-0.4466177225112915,-0.43017327785491943,-0.010301434434950352,-0.47071030735969543,-0.5104181170463562,0.15405364334583282,-0.44436073303222656,-0.4852496385574341,-0.04920715466141701,-0.43461596965789795,-0.5220789909362793,0.15322187542915344,-0.42390817403793335,-0.5361101627349854,-0.0382629930973053,-0.4062787890434265,-0.4729251265525818,0.1316526085138321,-0.44542989134788513,-0.45710328221321106,-0.016229983419179916,0.012991322204470634,0.0037758410908281803,-0.07518444210290909,-0.014236073940992355,-0.008947229012846947,0.07781143486499786,-0.07195855677127838,0.3957850933074951,-0.13008800148963928,-0.23347538709640503,0.24223022162914276,0.17021670937538147,0.003776371479034424,0.7087846994400024,-0.07407937943935394,-0.1458892822265625,0.598953902721405,0.3639717102050781,-0.02075222134590149,0.7514179944992065,-0.0597042515873909,-0.14736227691173553,0.6292405128479004,0.3410426378250122,-0.18127426505088806,0.8044668436050415,-0.07379413396120071,-0.2613959312438965,0.6413360834121704,0.36640268564224243
-0.5682798027992249,-0.28503596782684326,-0.12247634679079056,-0.5327050089836121,-0.3109808564186096,-0.16775688529014587,-0.5334203243255615,-0.3125978708267212,-0.15709087252616882,-0.5346800684928894,-0.310404509305954,-0.15610767900943756,-0.5444362759590149,-0.34179210662841797,-0.14329954981803894,-0.5426009297370911,-0.3378172218799591,-0.15011566877365112,-0.5272485017776489,-0.33140483498573303,-0.130123570561409,-0.4081755578517914,-0.3452881872653961,-0.22523264586925507,-0.38810020685195923,-0.34885677695274353,-0.055694516748189926,-0.5154297947883606,-0.2899998128414154,-0.1319478154182434,-0.49166184663772583,-0.28161776065826416,-0.1123100221157074,-0.2952807545661926,-0.18463638424873352,-0.1995021253824234,-0.38030335307121277,-0.3042377531528473,0.13975246250629425,-0.4670190215110779,-0.037981972098350525,-0.20077309012413025,-0.5076613426208496,-0.12164220213890076,0.18517406284809113,-0.6121692657470703,-0.2307361215353012,0.04681197926402092,-0.6333498954772949,-0.22963954508304596,0.20962408185005188,-0.6588407754898071,-0.29577937722206116,0.0614982508122921,-0.6425796747207642,-0.30053943395614624,0.21080991625785828,-0.6027939915657043,-0.30036240816116333,0.04630079120397568,-0.6120799779891968,-0.34739744663238525,0.23099446296691895,-0.5762397646903992,-0.246462881565094,0.04411480203270912,-0.6309986114501953,-0.25142011046409607,0.2102712094783783,0.0219742264598608,0.01737503707408905,-0.06976673752069473,-0.023520054295659065,-0.02244420535862446,0.06953486055135727,-0.26941555738449097,0.1446744054555893,-0.16753923892974854,-0.3846076428890228,-0.0026995092630386353,0.24240542948246002,-0.06020800769329071,0.4344044327735901,-0.12750044465065002,-0.24124304950237274,0.39840859174728394,0.3820268213748932,-0.06860131025314331,0.48228567838668823,-0.11381381750106812,-0.24368199706077576,0.43981170654296875,0.35873711109161377,-0.19062314927577972,0.5335188508033752,-0.10328477621078491,-0.380665123462677,0.4536054730415344,0.402353972196579
